Name,Processing,Dry Fragrance,Wet Aroma,Brightness,Flavor,Body,Finish,Sweetness,Clean Cup,Complexity,Uniformity,Floral,Honey,Sugars,Caramel,Fruits,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,Body
Ethiopia Bensa Kebele Mirado,Wet Process,2.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,9.1,9.2,9.2,9.0,8.5,8.6,9.0,8.1,9.0,8.5
Kenya Nyeri Kiruga AB,Wet Process,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,8.8,9.1,8.8,9.0,9.0,9.1,9.5,8.8,9.2,8.5
Kenya Kiambu Fram Farm AA,Wet Process,0.0,0.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,4.0,8.8,9.0,9.0,9.2,9.0,9.1,8.8,8.7,9.4,9.0
Kenya Kiambu Fram Farm AA,Wet Process Kenya Type,2.0,2.0,4.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,4.0,3.0,9.2,9.5,9.5,9.3,8.8,9.1,9.0,8.2,9.6,8.5
Kenya Kiambu Fram Farm AB,Wet Process,0.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,9.2,9.0,9.0,9.3,8.7,9.0,9.0,8.5,9.3,8.5
Kenya Kiambu Fram Farm Peaberry,Wet Process Kenya Type,0.0,0.0,3.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,9.0,9.3,8.8,9.5,9.0,9.1,8.7,8.3,9.5,8.5
Kenya Kiambu Mandela Farm AA,Wet Process,0.0,1.0,3.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,9.3,9.6,9.5,9.5,8.7,9.3,8.7,9.0,9.5,9.0
Kenya Kiambu Mandela Farm AB,Wet Process,0.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,4.0,8.9,9.2,9.2,9.2,9.0,9.1,9.0,8.7,9.5,8.2
Kenya Kirinyaga Kamwangi AA,Wet Process Kenya Type,0.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,3.0,8.8,9.1,9.2,8.9,8.8,8.4,8.7,8.2,9.2,8.5
Kenya Murang'a Gatuya AA,Wet Process,0.0,0.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,8.8,9.3,9.2,9.0,8.7,8.7,8.7,8.2,9.6,8.5
Kenya Nyeri Chinga AB,Wet Process,1.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,8.8,9.3,8.9,9.1,9.0,9.0,9.4,8.8,9.2,8.5
Kenya Nyeri Gatugi AA,Wet Process Kenya Type,1.0,0.0,2.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,9.0,9.3,9.0,9.2,8.7,9.1,8.8,8.5,9.5,9.0
Costa Rica Don Oscar Arracaches,Machine Washed,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,8.2,8.4,8.0,8.5,9.0,8.3,8.3,8.5,7.8,8.5
Kenya Nyeri Gatugi Peaberry,Wet Process,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,8.8,9.0,9.1,9.2,9.0,8.7,9.5,8.7,9.2,8.5
